standard-nanoOld, gbg_program, nanoOldBootloader, old nano
standard-nanoNew, gbg_program, nano, new nano or uno
standard-rpiPico, gbg_program, RPIPICO, rpi pico
standard-rpiPico-W, gbg_program, RPIPICOW, rpi pico W
standard-esp32, gbg_program, ESP, ESP32
standard-rpiPico-2, gbg_program, RPIPICO, rpi pico 2
standard-rpiPico-2W, gbg_program, RPIPICOW, rpi pico 2 W
clear_eeprom-nanoOld, clear_eeprom, nanoOldBootloader, old nano
clear_eeprom-nanoNew, clear_eeprom, nano, new nano or uno
clear_eeprom-rpiPico, clear_eeprom, RPIPICO, rpi pico
clear_eeprom-rpiPico-W, clear_eeprom, RPIPICOW, rpi pico W
clear_eeprom-esp32, clear_eeprom, ESP, ESP32
clear_eeprom-rpiPico2, clear_eeprom, RPIPICO, rpi pico 2
clear_eeprom-rpiPico-2W, clear_eeprom, RPIPICOW, rpi pico 2W
blink-nanoOld, blink, nanoOldBootloader, old nano
blink-nanoNew, blink, nano, new nano or uno
